Upload a satellite image,output,timestamp
.gradio\flagged\Upload a satellite image\1a7f4c85890261d54e7a\clipboard.png,"{""label"": ""green_area"", ""confidences"": [{""label"": ""green_area"", ""confidence"": 0.7411785125732422}, {""label"": ""water"", ""confidence"": 0.6613091230392456}, {""label"": ""desert"", ""confidence"": 0.3678652346134186}, {""label"": ""cloudy"", ""confidence"": 0.2069803923368454}]}",2025-09-22 09:24:31.600312
.gradio\flagged\Upload a satellite image\76cb8c91559e1f78e020\clipboard.png,"{""label"": ""cloudy"", ""confidences"": [{""label"": ""cloudy"", ""confidence"": 0.999450147151947}, {""label"": ""green_area"", ""confidence"": 0.5618182420730591}, {""label"": ""desert"", ""confidence"": 0.07295779138803482}, {""label"": ""water"", ""confidence"": 0.0340341292321682}]}",2025-09-22 09:24:54.692653
.gradio\flagged\Upload a satellite image\75455983cf7d102e0e50\clipboard.png,"{""label"": ""cloudy"", ""confidences"": [{""label"": ""cloudy"", ""confidence"": 0.9555035829544067}, {""label"": ""green_area"", ""confidence"": 0.6337405443191528}, {""label"": ""water"", ""confidence"": 0.20601171255111694}, {""label"": ""desert"", ""confidence"": 0.1969563215970993}]}",2025-09-22 09:25:14.287461
.gradio\flagged\Upload a satellite image\f537b73b1782f8282da2\clipboard.png,"{""label"": ""green_area"", ""confidences"": [{""label"": ""green_area"", ""confidence"": 0.7289658784866333}, {""label"": ""water"", ""confidence"": 0.6544240713119507}, {""label"": ""desert"", ""confidence"": 0.3560965657234192}, {""label"": ""cloudy"", ""confidence"": 0.255565345287323}]}",2025-09-22 09:25:40.224167
.gradio\flagged\Upload a satellite image\94e96153621a1cfd2a2f\clipboard.png,"{""label"": ""cloudy"", ""confidences"": [{""label"": ""cloudy"", ""confidence"": 0.7931482195854187}, {""label"": ""green_area"", ""confidence"": 0.6757364273071289}, {""label"": ""water"", ""confidence"": 0.35228079557418823}, {""label"": ""desert"", ""confidence"": 0.24322761595249176}]}",2025-09-22 09:25:55.122386
.gradio\flagged\Upload a satellite image\005a78acc90c8ad18cb5\clipboard.png,"{""label"": ""cloudy"", ""confidences"": [{""label"": ""cloudy"", ""confidence"": 0.9826725125312805}, {""label"": ""green_area"", ""confidence"": 0.6047946214675903}, {""label"": ""desert"", ""confidence"": 0.16089732944965363}, {""label"": ""water"", ""confidence"": 0.14776530861854553}]}",2025-09-22 09:26:05.664234
.gradio\flagged\Upload a satellite image\9988e0d60a5fc3fbf8b0\clipboard.png,"{""label"": ""green_area"", ""confidences"": [{""label"": ""green_area"", ""confidence"": 0.729141354560852}, {""label"": ""water"", ""confidence"": 0.6474639177322388}, {""label"": ""desert"", ""confidence"": 0.3677845895290375}, {""label"": ""cloudy"", ""confidence"": 0.2245158702135086}]}",2025-09-22 09:26:15.591009
.gradio\flagged\Upload a satellite image\4dbb4cf3d4b38346e978\clipboard.png,"{""label"": ""cloudy"", ""confidences"": [{""label"": ""cloudy"", ""confidence"": 0.9914566278457642}, {""label"": ""green_area"", ""confidence"": 0.5842706561088562}, {""label"": ""desert"", ""confidence"": 0.1366266906261444}, {""label"": ""water"", ""confidence"": 0.1162191852927208}]}",2025-09-22 09:26:33.611534
.gradio\flagged\Upload a satellite image\83fa2340b48ae5957241\clipboard.png,"{""label"": ""cloudy"", ""confidences"": [{""label"": ""cloudy"", ""confidence"": 0.969400942325592}, {""label"": ""green_area"", ""confidence"": 0.6287686824798584}, {""label"": ""water"", ""confidence"": 0.19534511864185333}, {""label"": ""desert"", ""confidence"": 0.1741049736738205}]}",2025-09-22 09:26:48.300342
.gradio\flagged\Upload a satellite image\10e4db590788e6ca2fe1\clipboard.png,"{""label"": ""cloudy"", ""confidences"": [{""label"": ""cloudy"", ""confidence"": 0.9983426928520203}, {""label"": ""green_area"", ""confidence"": 0.5185322761535645}, {""label"": ""desert"", ""confidence"": 0.09816586971282959}, {""label"": ""water"", ""confidence"": 0.06273771822452545}]}",2025-09-22 09:26:54.631548
.gradio\flagged\Upload a satellite image\ec2a5377a2ec4b3748b8\clipboard.png,"{""label"": ""cloudy"", ""confidences"": [{""label"": ""cloudy"", ""confidence"": 0.9999955892562866}, {""label"": ""green_area"", ""confidence"": 0.36414822936058044}, {""label"": ""desert"", ""confidence"": 0.02507256530225277}, {""label"": ""water"", ""confidence"": 0.007812808267772198}]}",2025-09-22 09:27:14.794779
.gradio\flagged\Upload a satellite image\396898177b2ced90d179\clipboard.png,"{""label"": ""cloudy"", ""confidences"": [{""label"": ""cloudy"", ""confidence"": 0.9999738335609436}, {""label"": ""green_area"", ""confidence"": 0.4695994257926941}, {""label"": ""desert"", ""confidence"": 0.02732941508293152}, {""label"": ""water"", ""confidence"": 0.014574124477803707}]}",2025-09-22 09:27:26.531137
